assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11626154,57352,Telmatobius niger,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,TELMATOBIIDAE,Telmatobius,niger,,,,"Barbour &amp; Noble, 1920",Critically Endangered,A2ace,3.1,Decreasing,Global
11628013,57370,Thoropa megatympanum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CYCLORAMPHIDAE,Thoropa,megatympanum,,,,"Caramaschi and Sazima, 1984",Least Concern,,3.1,Stable,Global
11628284,57371,Thoropa miliaris,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CYCLORAMPHIDAE,Thoropa,miliaris,,,,"(Spix, 1824)",Least Concern,,3.1,Stable,Global
11628473,57372,Thoropa saxatilis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CYCLORAMPHIDAE,Thoropa,saxatilis,,,,"Cocroft and Heyer, 1988",Near Threatened,,3.1,Decreasing,Global
11628605,57373,Leptodactylus discodactylus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,LEPTODACTYLIDAE,Leptodactylus,discodactylus,,,,"Boulenger, 1884",Least Concern,,3.1,Stable,Global
11628767,57374,Zachaenus carvalhoi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CYCLORAMPHIDAE,Zachaenus,carvalhoi,,,,"Izecksohn, 1983",Data Deficient,,3.1,Unknown,Global
11628899,57375,Zachaenus parvulus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CYCLORAMPHIDAE,Zachaenus,parvulus,,,,"(Girard, 1853)",Least Concern,,3.1,Decreasing,Global
11646980,57572,Leptobrachella pelodytoides,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Leptobrachella,pelodytoides,,,,"(Boulenger, 1893)",Least Concern,,3.1,Stable,Global
11648456,57577,Leptobrachella ventripunctata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Leptobrachella,ventripunctata,,,,"Fei, Ye and Li, 1991",Data Deficient,,3.1,Unknown,Global
11651187,57587,Megophrys koui,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,koui,,,,"Mahony, Foley, Biju &amp; Teeling, 2017",Least Concern,,3.1,Decreasing,Global
11656010,57541,Megophrys platyparietus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,platyparietus,,,,"(Rao &amp; Yang, 1997)",Least Concern,,3.1,Decreasing,Global
11658404,57563,Leptobrachella bourreti,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Leptobrachella,bourreti,,,,"(Dubois, 1983)",Data Deficient,,3.1,Unknown,Global
11659443,57657,Megophrys wuliangshanensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,wuliangshanensis,,,,"Ye &amp; Fei, 1995",Data Deficient,,3.1,Unknown,Global
11660584,57660,Adelastes hylonomos,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Adelastes,hylonomos,,,,"Zweifel, 1986",Data Deficient,,3.1,Unknown,Global
11661068,57605,Scutiger adungensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Scutiger,adungensis,,,,"Dubois, 1979",Data Deficient,,3.1,Unknown,Global
11661166,57673,Hamptophryne alios,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Hamptophryne,alios,,,,"(Wild, 1995)",Data Deficient,,3.1,Unknown,Global
11661295,57606,Scutiger bhutanensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Scutiger,bhutanensis,,,,"Delorme and Dubois, 2001",Data Deficient,,3.1,Unknown,Global
11661516,57607,Scutiger boulengeri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Scutiger,boulengeri,,,,"(Bedriaga, 1898)",Least Concern,,3.1,Unknown,Global
11663112,57681,Arcovomer passarellii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Arcovomer,passarellii,,,,"Carvalho, 1954",Least Concern,,3.1,Decreasing,Global
11663435,57614,Scutiger maculatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Scutiger,maculatus,,,,"(Liu, 1950)",Critically Endangered,"B2ab(iii,v)",3.1,Decreasing,Global
11664079,57617,Scutiger nepalensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Scutiger,nepalensis,,,,"Dubois, 1974",Vulnerable,B2ab(iii),3.1,Decreasing,Global
11664484,57619,Scutiger nyingchiensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Scutiger,nyingchiensis,,,,"Fei, 1977",Least Concern,,3.1,Unknown,Global
11665087,57622,Scutiger sikimmensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Scutiger,sikimmensis,,,,"(Blyth, 1854)",Least Concern,,3.1,Unknown,Global
11665512,57624,Leptobrachium ailaonicum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Leptobrachium,ailaonicum,,,,"(Yang, Chen &amp; Ma, 1983)",Near Threatened,,3.1,Stable,Global
11665946,57626,Leptobrachium echinatum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Leptobrachium,echinatum,,,,"Dubois &amp; Ohler, 1998",Endangered,B1ab(iii),3.1,Decreasing,Global
11667261,57632,Megophrys boettgeri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,boettgeri,,,,"(Boulenger, 1899)",Least Concern,,3.1,Decreasing,Global
11667381,57633,Megophrys brachykolos,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,brachykolos,,,,"Inger &amp; Romer, 1961",Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
11667602,57635,Megophrys daweimontis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,daweimontis,,,,"Rao &amp; Yang, 1997",Data Deficient,,3.1,Unknown,Global
11667811,57637,Megophrys gigantica,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,gigantica,,,,"Liu, Hu &amp; Yang, 1960",Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
11667930,57638,Megophrys glandulosa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,glandulosa,,,,"Fei, Ye &amp; Huang, 1991",Least Concern,,3.1,Decreasing,Global
11668304,57640,Philautus kempii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Philautus,kempii,,,,"(Annandale, 1912)",Data Deficient,,3.1,Unknown,Global
11668487,57641,Megophrys kuatunensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,kuatunensis,,,,"Pope, 1929",Least Concern,,3.1,Decreasing,Global
11668731,57643,Megophrys major,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,major,,,,"Boulenger, 1908",Least Concern,,3.1,Decreasing,Global
11669129,57646,Megophrys minor,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,minor,,,,"Stejneger, 1926",Least Concern,,3.1,Decreasing,Global
11669486,57649,Megophrys pachyproctus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,pachyproctus,,,,"Huang, 1981",Data Deficient,,3.1,Unknown,Global
11669946,57651,Megophrys parva,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,parva,,,,"(Boulenger, 1893)",Least Concern,,3.1,Decreasing,Global
11670146,57652,Megophrys robusta,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,robusta,,,,"Boulenger, 1908",Data Deficient,,3.1,Unknown,Global
11671629,57762,Chiasmocleis schubarti,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,schubarti,,,,"Bokermann, 1952",Least Concern,,3.1,Decreasing,Global
11671845,57763,Chiasmocleis shudikarensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,shudikarensis,,,,"Dunn, 1949",Least Concern,,3.1,Stable,Global
11672217,57764,Chiasmocleis ventrimaculata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,ventrimaculata,,,,"(Andersson, 1945)",Least Concern,,3.1,Stable,Global
11672992,57779,Cophixalus montanus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Cophixalus,montanus,,,,"(Boettger, 1895)",Data Deficient,,3.1,Unknown,Global
11673163,57780,Cophixalus monticola,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Cophixalus,monticola,,,,"Richards, Dennis, Trenberry and Werren, 1994",Endangered,B1ab(v)+2ab(v),3.1,Unknown,Global
11679941,57747,Chiasmocleis alagoana,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,alagoana,,,,"Cruz, Caramaschi &amp; Freire, 1999",Data Deficient,,3.1,Decreasing,Global
11680057,57748,Chiasmocleis albopunctata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,albopunctata,,,,"(Boettger, 1885)",Least Concern,,3.1,Stable,Global
11680327,57750,Chiasmocleis atlantica,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,atlantica,,,,"Cruz, Caramaschi and Izecksohn, 1997",Least Concern,,3.1,Decreasing,Global
11680452,57751,Chiasmocleis bassleri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,bassleri,,,,"Dunn, 1949",Least Concern,,3.1,Stable,Global
11680571,57752,Chiasmocleis capixaba,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,capixaba,,,,"Cruz, Caramaschi &amp; Izecksohn, 1997",Least Concern,,3.1,Decreasing,Global
11680833,57754,Chiasmocleis centralis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,centralis,,,,"Bokermann, 1952",Data Deficient,,3.1,Unknown,Global
11680972,57755,Chiasmocleis cordeiroi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,cordeiroi,,,,"Caramaschi and Pimenta, 2003",Data Deficient,,3.1,Unknown,Global
11681069,57756,Chiasmocleis crucis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,crucis,,,,"Caramaschi and Pimenta, 2003",Data Deficient,,3.1,Unknown,Global
11681166,57757,Chiasmocleis hudsoni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,hudsoni,,,,"Parker, 1941",Least Concern,,3.1,Stable,Global
11681293,57758,Chiasmocleis jimi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,jimi,,,,"Caramaschi &amp; Cruz, 2001",Data Deficient,,3.1,Unknown,Global
11681532,57759,Chiasmocleis leucosticta,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,leucosticta,,,,"(Boulenger, 1888)",Least Concern,,3.1,Stable,Global
11681700,57760,Chiasmocleis mehelyi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,mehelyi,,,,"Caramaschi and Cruz, 1997",Data Deficient,,3.1,Unknown,Global
11682053,57769,Cophixalus aenigma,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Cophixalus,aenigma,,,,"Hoskin, 2004",Vulnerable,D2,3.1,Stable,Global
11683271,57801,Ctenophryne geayi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Ctenophryne,geayi,,,,"Mocquard, 1904",Least Concern,,3.1,Stable,Global
11683690,57803,Dasypops schirchi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Dasypops,schirchi,,,,"Miranda-Ribeiro, 1924",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11683931,57804,Dermatonotus muelleri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Dermatonotus,muelleri,,,,"(Boettger, 1885)",Least Concern,,3.1,Stable,Global
11684903,57807,Elachistocleis bicolor,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Elachistocleis,bicolor,,,,"(Guérin-Meneville, 1838)",Least Concern,,3.1,Stable,Global
11685046,57879,Microhyla chakrapanii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Microhyla,chakrapanii,,,,"Pillai, 1977",Data Deficient,,3.1,Unknown,Global
11685140,57808,Elachistocleis erythrogaster,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Elachistocleis,erythrogaster,,,,"Kwet and Di-Bernardo, 1999",Near Threatened,,3.1,Decreasing,Global
11685659,57881,Microhyla fusca,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Microhyla,fusca,,,,"Andersson, 1943",Data Deficient,,3.1,Unknown,Global
11685749,57810,Elachistocleis piauiensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Elachistocleis,piauiensis,,,,"Caramaschi and Jim, 1983",Least Concern,,3.1,Stable,Global
